siteName,Lat,Long,URL,PFT
HarvardForest,42.5378,-72.1715,http://phenocam.sr.unh.edu/data/archive/harvard/ROI/harvard_DB_0001_1day.csv,DB
HubbardBrook,43.9269,-71.7407,https://phenocam.sr.unh.edu/data/archive/hubbardbrooksfws/ROI/hubbardbrooksfws_DB_0003_1day.csv,DB
UMBio,45.55984,-84.71382,http://phenocam.sr.unh.edu/data/archive/umichbiological/ROI/umichbiological_DB_0002_1day.csv,DB
Coweeta,35.05959,-83.42798,http://phenocam.sr.unh.edu/data/archive/coweeta/ROI/coweeta_DB_0001_1day.csv,DB
Bartlett,44.0646,-71.2881,http://phenocam.sr.unh.edu/data/archive/bartlettir/ROI/bartlettir_DB_0001_1day.csv,DB
missouriozarks,38.7441,-92.2,https://phenocam.sr.unh.edu/data/archive/missouriozarks/ROI/missouriozarks_DB_0001_1day.csv,DB
luckyHills,31.7438,-110.0522,https://phenocam.sr.unh.edu/data/archive/luckyhills/ROI/luckyhills_SH_0002_1day.csv,SH
morganMonroe,39.3231,-86.4131,https://phenocam.sr.unh.edu/data/archive/morganmonroe/ROI/morganmonroe_DB_0001_1day.csv,DB
niwot,40.0329,-105.547,https://phenocam.sr.unh.edu/data/archive/niwot3/ROI/niwot3_EN_0001_1day.csv,EN
russellSage,32.457,-91.9743,https://phenocam.sr.unh.edu/data/archive/russellsage/ROI/russellsage_DB_0001_1day.csv,DB
sevilletaGrass,34.3389,-106.725,https://phenocam.sr.unh.edu/data/archive/sevilletagrass/ROI/sevilletagrass_GR_0001_1day.csv,GR
willowCreek,45.805986,-90.0791,https://phenocam.sr.unh.edu/data/archive/willowcreek/ROI/willowcreek_DB_0001_1day.csv,DB
howland,45.2128,-68.7418,https://phenocam.sr.unh.edu/data/archive/howland2/ROI/howland2_DB_0002_1day.csv,DB
usmpj,34.43845,-106.2543606,https://phenocam.sr.unh.edu/data/archive/usmpj/ROI/usmpj_EN_0001_1day.csv,EN
burns,43.4712,-119.6909,https://phenocam.sr.unh.edu/data/archive/burnssagebrush/ROI/burnssagebrush_SH_0001_1day.csv,SH
forbes,39.232,-121.2972,https://phenocam.sr.unh.edu/data/archive/forbes/ROI/forbes_GR_0001_1day.csv,GR
oregonMP,44.4523,-121.5574,https://phenocam.sr.unh.edu/data/archive/oregonMP/ROI/oregonMP_EN_0001_1day.csv,EN
jerbajada,32.5799,-106.6338,https://phenocam.sr.unh.edu/data/archive/jerbajada/ROI/jerbajada_SH_0001_1day.csv,SH
jernort,32.619,-106.788,https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_0001_1day.csv,SH
ufona,27.3835,-81.950856,https://phenocam.sr.unh.edu/data/archive/ufona/ROI/ufona_SH_0001_1day.csv,SH
pointreyes,37.9964,-123.0211,https://phenocam.sr.unh.edu/data/archive/pointreyes/ROI/pointreyes_SH_0001_1day.csv,SH
